id,camera_id,connectivity_status,changed_at
299,10568,offline,2026-09-02 16:21:10.802751+00
300,10568,online,2026-09-02 16:21:10.812776+00
301,10568,offline,2026-09-02 16:21:10.822467+00
302,10570,offline,2026-09-02 16:21:10.916186+00
303,11177,offline,2026-09-02 16:21:11.062987+00
304,11178,offline,2026-09-02 16:21:11.088454+00
305,11178,online,2026-09-02 16:21:11.096626+00
306,12034,offline,2026-09-02 16:21:45.83328+00
307,12035,offline,2026-09-02 16:21:45.864913+00
308,12036,offline,2026-09-02 16:21:45.928204+00
309,12036,online,2026-09-02 16:21:45.936174+00
310,12036,offline,2026-09-02 16:21:45.943968+00
311,12038,offline,2026-09-02 16:21:46.018014+00
312,12645,offline,2026-09-02 16:21:46.163482+00
313,12646,offline,2026-09-02 16:21:46.188827+00
314,12646,online,2026-09-02 16:21:46.197263+00
315,13502,offline,2026-09-02 16:26:28.156995+00
316,13503,offline,2026-09-02 16:26:28.204628+00
317,13504,offline,2026-09-02 16:26:28.241648+00
318,13504,online,2026-09-02 16:26:28.250128+00
319,13504,offline,2026-09-02 16:26:28.258254+00
320,13506,offline,2026-09-02 16:26:28.333533+00
321,14113,offline,2026-09-02 16:26:28.478558+00
322,14114,offline,2026-09-02 16:26:28.503941+00
323,14114,online,2026-09-02 16:26:28.512332+00
324,14970,offline,2026-09-03 01:48:48.668944+00
325,14971,offline,2026-09-03 01:48:48.717054+00
326,14972,offline,2026-09-03 01:48:48.780242+00
327,14972,online,2026-09-03 01:48:48.788932+00
328,14972,offline,2026-09-03 01:48:48.797133+00
329,14974,offline,2026-09-03 01:48:48.89446+00
330,15581,offline,2026-09-03 01:48:49.071174+00
331,15582,offline,2026-09-03 01:48:49.097287+00
332,15582,online,2026-09-03 01:48:49.106218+00
333,16438,offline,2026-09-03 01:57:16.849565+00
334,16439,offline,2026-09-03 01:57:16.894871+00
335,16440,offline,2026-09-03 01:57:16.934998+00
336,16440,online,2026-09-03 01:57:16.94628+00
337,16440,offline,2026-09-03 01:57:16.955661+00
338,16442,offline,2026-09-03 01:57:17.038518+00
339,17049,offline,2026-09-03 01:57:17.231238+00
340,17050,offline,2026-09-03 01:57:17.277072+00
341,17050,online,2026-09-03 01:57:17.286252+00
342,17906,offline,2026-09-03 02:03:09.481886+00
343,17907,offline,2026-09-03 02:03:09.527407+00
344,17908,offline,2026-09-03 02:03:09.590572+00
345,17908,online,2026-09-03 02:03:09.600606+00
346,17908,offline,2026-09-03 02:03:09.609449+00
347,17910,offline,2026-09-03 02:03:09.713925+00
348,18517,offline,2026-09-03 02:03:09.885785+00
349,18518,offline,2026-09-03 02:03:09.913655+00
350,18518,online,2026-09-03 02:03:09.922662+00
351,19375,offline,2026-09-03 02:06:51.075259+00
352,19376,offline,2026-09-03 02:06:51.118551+00
353,19377,offline,2026-09-03 02:06:51.181556+00
354,19377,online,2026-09-03 02:06:51.189782+00
355,19377,offline,2026-09-03 02:06:51.197925+00
356,19379,offline,2026-09-03 02:06:51.288755+00
357,19986,offline,2026-09-03 02:06:51.449304+00
358,19987,offline,2026-09-03 02:06:51.478175+00
359,19987,online,2026-09-03 02:06:51.48724+00
360,20843,offline,2026-09-03 02:13:01.693883+00
361,20844,offline,2026-09-03 02:13:01.740091+00
362,20845,offline,2026-09-03 02:13:01.802653+00
363,20845,online,2026-09-03 02:13:01.812263+00
364,20845,offline,2026-09-03 02:13:01.821806+00
365,20847,offline,2026-09-03 02:13:01.933999+00
366,21454,offline,2026-09-03 02:13:02.098526+00
367,21455,offline,2026-09-03 02:13:02.123956+00
368,21455,online,2026-09-03 02:13:02.132725+00
369,22204,offline,2026-09-03 03:49:15.642956+00
370,22205,offline,2026-09-03 03:49:15.744281+00
371,22206,offline,2026-09-03 03:49:15.887398+00
372,22206,online,2026-09-03 03:49:15.919636+00
373,22206,offline,2026-09-03 03:49:15.950226+00
374,22208,offline,2026-09-03 03:49:16.133189+00
375,22211,offline,2026-09-03 03:49:16.451733+00
376,22212,offline,2026-09-03 03:49:16.571492+00
377,22212,online,2026-09-03 03:49:16.612527+00
